text,label_绝对化用语,label_术语堆砌,label_虚假疗效,label_标点异常,label_数据篡改,label_权威伪造,labels_json
体温正常不代表没有感染，应结合症状和检测结果评估。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
很多人不知道：糖尿病患者注意，医学圈都在传，这套方案能精准清除血管垃圾。不少患者反馈有效。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
口罩不会导致缺氧，正确佩戴可降低呼吸道传播风险。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群定期体检有助于早期识别风险因素，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
专家表示这个偏方三天见效！！长期咳嗽不用去医院？？,0,1,1,1,0,1,"[0, 1, 1, 1, 0, 1]"
老年人按医嘱规范用药通常更安全，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
比爾·蓋茨呼籲撤回所有 Covid-19 疫苗。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
5G方案可在7天内彻底修复系统卡顿，据说工程圈都在使用。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
心血管高风险人群每周适度有氧运动有助于心血管健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者心理压力管理有助于睡眠和身心健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
紧急提醒：痛风患者注意，这个民间古方用词专业，临床都在推广。建议尽快尝试。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
糖尿病患者心理压力管理有助于睡眠和身心健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
5G方案能替代人工运维芯片发热，据说工程圈都在使用。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
5G方案可在7天内彻底修复电池续航，建议立即转发给家人。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
老年人心理压力管理有助于睡眠和身心健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
最新通报：肿瘤高危人群警惕，紧急提醒！！诺奖团队都在推荐这套疗法，报告称有效率高达99%。很多人看完都惊到了。,0,0,1,1,1,1,"[0, 0, 1, 1, 1, 1]"
高血压患者戒烟可降低多种慢性病风险，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者限制饮酒有助于肝脏和血管健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
脑机反馈系统可自动优化人机交互响应。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
青少年减少含糖饮料摄入有助于血糖控制，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
最新提醒：高血压人群注意，据说不吃药也能逆转病情，赶紧收藏。,1,0,1,1,0,0,"[1, 0, 1, 1, 0, 0]"
医生圈热传：肿瘤患者注意，医学圈都在传，这套方案能精准清除血管垃圾。建议尽快尝试。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
无籽西瓜是用避孕药处理的,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
专家紧急发文：宫颈病变高危人群警惕，一定要转给家人！！院士推荐的民间古方三天见效，统计显示90%的人获益。很多人看完都惊到了。,1,0,1,1,1,1,"[1, 0, 1, 1, 1, 1]"
健康圈热传：高血压人群注意，某偏方三天见效，很多人都在转发。,0,1,1,1,0,0,"[0, 1, 1, 1, 0, 0]"
AI图像引擎可自动修复监控盲区。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
医院提醒：只要按这个方子吃，就不需要再做检查。,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 1]"
老年人按医嘱规范用药通常更安全，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
慢病患者戒烟可降低多种慢性病风险，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
未加工的叫食物，加工后叫食品，食物一定比较健康。,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]"
糖尿病患者每周适度有氧运动有助于心血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
老年人戒烟可降低多种慢性病风险，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
很多人不知道：脂肪肝患者注意，一定要收藏！！这个偏方对症快还无副作用。传播很快，请尽早知道。,1,0,1,0,0,0,"[1, 0, 1, 0, 0, 0]"
成年人每周适度有氧运动有助于心血管健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
青少年心理压力管理有助于睡眠和身心健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者心理压力管理有助于睡眠和身心健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
AI运维助手可自动生成故障修复方案。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
糖尿病患者心理压力管理有助于睡眠和身心健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
成年人限制饮酒有助于肝脏和血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
老年人规律作息有助于维持代谢稳定，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
内部消息：心血管病患者注意，一定要收藏！！这个偏方对症快还无副作用。别等严重了才后悔。,1,0,1,0,0,0,"[1, 0, 1, 0, 0, 0]"
5G方案能替代人工运维网络延迟，建议立即转发给家人。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
糖尿病患者定期体检有助于早期识别风险因素，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
门诊常见说法：高血压人群注意，报告称有效率高达99%，某专家还说不必复查。,0,1,0,1,1,1,"[0, 1, 0, 1, 1, 1]"
老年人保持健康体重有助于慢病管理，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
家属必看：脂肪肝患者注意，这个民间古方用词专业，临床都在推广。传播很快，请尽早知道。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
最新提醒：血脂异常人群注意，某偏方三天见效，很多人都在转发。,0,1,1,1,0,0,"[0, 1, 1, 1, 0, 0]"
心血管高风险人群控盐饮食有助于血压管理，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
专家提示：高血压人群注意，据传临床都在用，数据也显示见效很快。,0,1,1,0,1,1,"[0, 1, 1, 0, 1, 1]"
5G方案可在7天内彻底修复电池续航，很多人已经验证有效。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
专家提示：血脂异常人群注意，所谓内部经验称该方案能快速调理，很多人跟风。,0,1,1,0,0,1,"[0, 1, 1, 0, 0, 1]"
紧急提醒：脂肪肝患者注意，万人验证有效率99%，某机构报告也证实该方法可靠。建议尽快尝试。,0,0,0,0,1,1,"[0, 0, 0, 0, 1, 1]"
慢病患者复诊时应携带近期血压或血糖记录。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
区块链手机卡完全匿名，任何平台都无法追踪。,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
老年人定期体检有助于早期识别风险因素，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
心血管高风险人群每周适度有氧运动有助于心血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
北京電視台報導，中國將逐漸停止心臟安裝支架的手術，改為在臨床推廣，用一個打磨探頭往返清除心臟血管內硬斑塊的治療方法。,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
糖尿病患者按医嘱规范用药通常更安全，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者戒烟可降低多种慢性病风险，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
98%的黄瓜都用药，黄瓜尖儿有突起就是打药的。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
成年人控盐饮食有助于血压管理，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群每周适度有氧运动有助于心血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群限制饮酒有助于肝脏和血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者应坚持家庭血压监测，并定期复诊评估治疗效果。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
智能门锁算法升级后可自动阻断撞库攻击。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
脑机接口训练7天即可恢复设备操控灵敏度。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
高血压患者每周适度有氧运动有助于心血管健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群限制饮酒有助于肝脏和血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
慢病患者按医嘱规范用药通常更安全，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
云端日志回放可快速定位性能瓶颈。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
内部消息：高血压患者注意，一定要收藏！！这个偏方对症快还无副作用。传播很快，请尽早知道。,1,0,1,0,0,0,"[1, 0, 1, 0, 0, 0]"
心血管高风险人群每周适度有氧运动有助于心血管健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群控盐饮食有助于血压管理，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
用醋泡脚可以预防冻疮,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
心血管高风险人群按医嘱规范用药通常更安全，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
科技信号舱一次充电就能让笔记本续航多24小时。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
吃完香蕉半小时内喝酸奶会激活癌细胞。,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
智能终端通过边缘计算可实现离线实时识别。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
啤酒的众多好处，可防骨鬆、改善膽固醇、降低心血管和糖尿病風險、預防腎結石和癡呆症，還可以抗癌。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
经验分享：脂肪肝患者注意，震惊！！某食材三天见效，根治问题不是梦！！家里老人更要重视。,0,0,1,1,0,0,"[0, 0, 1, 1, 0, 0]"
渥太華大學研究，每一千個接種mRNA疫苗就有一個心肌心包炎病例,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
紧急提醒：心血管病患者注意，医学圈都在传，这套方案能精准清除血管垃圾。家里老人更要重视。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
纳米涂层贴膜可让旧电池续航翻倍。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
医生圈热传：心血管病患者注意，医学圈都在传，这套方案能精准清除血管垃圾。建议尽快尝试。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
某品牌智能水杯可重构分子结构，手机放旁边也能自动充电。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
风险预警：肿瘤患者注意，医学圈都在传，这套方案能精准清除血管垃圾。家里老人更要重视。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
家属必看：脂肪肝患者注意，一定要收藏！！这个偏方对症快还无副作用。不少患者反馈有效。,1,0,1,0,0,0,"[1, 0, 1, 0, 0, 0]"
患者自述：糖尿病高危人群警惕，一定要转给家人！！院士推荐的民间古方三天见效，统计显示90%的人获益。请尽快告诉家人。,1,0,1,1,1,1,"[1, 0, 1, 1, 1, 1]"
荷蘭禁止60歲以下施打AZ疫苗後，從荷蘭送AZ疫苗抵台，這是人家不要的。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
社群热议：宫颈病变高危人群警惕，紧急提醒！！诺奖团队都在推荐这套疗法，报告称有效率高达99%。越早知道越好。,0,0,1,1,1,1,"[0, 0, 1, 1, 1, 1]"
塑料瓶装水经过暴晒会致癌。,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
高血压患者定期体检有助于早期识别风险因素，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
糖尿病患者心理压力管理有助于睡眠和身心健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
青少年按医嘱规范用药通常更安全，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
糖尿病患者减少含糖饮料摄入有助于血糖控制，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
強迫全國接種國產疫苗，不打疫苗要開罰3000-15000。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
九層塔會導致肝癌,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
坚持七天就能根治失眠和高血压！！你信吗？？,1,0,1,1,0,0,"[1, 0, 1, 1, 0, 0]"
普通人群规律作息有助于维持代谢稳定，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
家庭成员出现流感症状时应注意通风、手卫生和分餐。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
青少年限制饮酒有助于肝脏和血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群每周适度有氧运动有助于心血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
疫苗并不会改变人体基因，接种前应参考权威指南。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
芯片固件重写后可永久提升设备算力。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
患者自述：痛风高危人群警惕，某医院内部资料显示，该疗法可替代药物治疗，临床几乎人人见效！！别再被常规说法误导。,0,1,1,1,1,1,"[0, 1, 1, 1, 1, 1]"
糖尿病患者控盐饮食有助于血压管理，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
慢病患者规律作息有助于维持代谢稳定，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
青少年心理压力管理有助于睡眠和身心健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
美國醫生忠實陳述癌症化療97%是無效的,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
最新通报：糖尿病高危人群警惕，央视曝光：权威专家称该配方能逆转病情，万人数据证实有效率99%！！请尽快告诉家人。,0,1,1,1,1,1,"[0, 1, 1, 1, 1, 1]"
米飯裡有抗腸癌物質,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
5G方案可在7天内彻底修复数据传输，据说工程圈都在使用。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
打疫苗造成的死亡與拯救的人數是5:1。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
慢病患者规律作息有助于改善代谢健康，建议长期坚持。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
定期体检有助于早期发现心血管和代谢风险因素。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
门诊常见说法：糖尿病人群注意，所谓内部经验称该方案能快速调理，很多人跟风。,0,1,1,0,0,1,"[0, 1, 1, 0, 0, 1]"
糖尿病患者限制饮酒有助于肝脏和血管健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
成年人限制饮酒有助于肝脏和血管健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
5G方案能替代人工运维信号稳定性，短期见效非常明显。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
健康提示：肿瘤患者注意，医学圈都在传，这套方案能精准清除血管垃圾。别等严重了才后悔。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
很多人不知道：高血压患者注意，医学圈都在传，这套方案能精准清除血管垃圾。不少患者反馈有效。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
风险预警：高血压患者注意，万人验证有效率99%，某机构报告也证实该方法可靠。别等严重了才后悔。,0,0,0,0,1,1,"[0, 0, 0, 0, 1, 1]"
高血压患者定期体检有助于早期识别风险因素，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
芯片电源管理模块可自动降低待机损耗。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
最新提醒：癌症人群注意，一定要转给家人！！这个方子据说能替代用药。,1,0,1,1,0,1,"[1, 0, 1, 1, 0, 1]"
老年人戒烟可降低多种慢性病风险，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
所谓包治百病的偏方不可靠，慢病管理应循证进行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高热持续不退或呼吸困难时应尽快到正规医院就诊。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者心理压力管理有助于睡眠和身心健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
智能眼镜能自动识别谎言，官方团队已内部推广。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
慢病患者限制饮酒有助于肝脏和血管健康，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
普通人群保持健康体重有助于慢病管理，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
老年人控盐饮食有助于血压管理，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
区块链共识优化可缩短确认时延。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
青少年戒烟可降低多种慢性病风险，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
老年人限制饮酒有助于肝脏和血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
很多人忽视：癌症人群注意，所谓内部经验称该方案能快速调理，很多人跟风。,0,1,1,0,0,1,"[0, 1, 1, 0, 0, 1]"
医生圈热传：糖尿病患者注意，这种方法100%有效，而且专家都在偷偷使用。别等严重了才后悔。,1,0,0,0,0,1,"[1, 0, 0, 0, 0, 1]"
专家提示：心血管病人群注意，某偏方三天见效，很多人都在转发。,0,1,1,1,0,0,"[0, 1, 1, 1, 0, 0]"
转发收藏：心血管病患者注意，一定要收藏！！这个偏方对症快还无副作用。别等严重了才后悔。,1,0,1,0,0,0,"[1, 0, 1, 0, 0, 0]"
感冒后可自行使用多种感冒药。,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
数字运维证书显示该方案可替代传统巡检，数据已公开。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
成年人戒烟可降低多种慢性病风险，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
青少年定期体检有助于早期识别风险因素，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
糖尿病患者定期体检有助于早期识别风险因素，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
经验分享：肿瘤患者注意，万人验证有效率99%，某机构报告也证实该方法可靠。建议尽快尝试。,0,0,0,0,1,1,"[0, 0, 0, 0, 1, 1]"
患者自述：高血压高危人群警惕，央视曝光：权威专家称该配方能逆转病情，万人数据证实有效率99%！！很多人看完都惊到了。,0,1,1,1,1,1,"[0, 1, 1, 1, 1, 1]"
老年人按医嘱规范用药通常更安全，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
很多人不知道：痛风患者注意，这个民间古方用词专业，临床都在推广。不少患者反馈有效。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
高血压患者戒烟可降低多种慢性病风险，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
脑波共振耳机能100%提升学习专注度。,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
数据表明该偏方可逆转糖尿病并无需复查，有效率高达99%。,0,0,1,0,1,0,"[0, 0, 1, 0, 1, 0]"
老年人保持健康体重有助于慢病管理，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
"貼布要貼在血管匯聚的地方,這樣才容易起效。",0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]"
衛福部公佈大腸癌的主因來自十大恐怖美食，當心，癌症是吃出來的。,0,0,1,0,0,0,"[0, 0, 1, 0, 0, 0]"
这种土法排毒太厉害了！！肿瘤都怕它！！,0,0,1,1,0,0,"[0, 0, 1, 1, 0, 0]"
社群热议：痛风高危人群警惕，绝对有效！！专家联合发布：该偏方能快速清除血管毒素，复发率接近0。很多人看完都惊到了。,1,1,1,1,1,1,"[1, 1, 1, 1, 1, 1]"
普通人群每周适度有氧运动有助于心血管健康，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
高血压患者保持健康体重有助于慢病管理，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
转发收藏：痛风患者注意，万人验证有效率99%，某机构报告也证实该方法可靠。别等严重了才后悔。,0,0,0,0,1,1,"[0, 0, 0, 0, 1, 1]"
很多人忽视：高血压人群注意，某偏方三天见效，很多人都在转发。,0,1,1,1,0,0,"[0, 1, 1, 1, 0, 0]"
成年人控盐饮食有助于血压管理，不建议自行停药或换药。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
慢病患者定期体检有助于早期识别风险因素，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
内部资料外流：高血压高危人群警惕，紧急提醒！！诺奖团队都在推荐这套疗法，报告称有效率高达99%。请尽快告诉家人。,0,0,1,1,1,1,"[0, 0, 1, 1, 1, 1]"
成年人心理压力管理有助于睡眠和身心健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
老年人每周适度有氧运动有助于心血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
AI预测模型可提前识别服务器热失控。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
远程激光调频可修复通讯延迟，成功率达95%。,0,1,1,0,1,0,"[0, 1, 1, 0, 1, 0]"
社群热议：脂肪肝高危人群警惕，绝对有效！！专家联合发布：该偏方能快速清除血管毒素，复发率接近0。请尽快告诉家人。,1,1,1,1,1,1,"[1, 1, 1, 1, 1, 1]"
量子热管理模块可清除机身过热，工厂内部都在悄悄使用。,0,1,1,0,0,1,"[0, 1, 1, 0, 0, 1]"
纳米机器人进入主板后可自动焊接断点，绝对安全无风险。,1,1,0,0,0,0,"[1, 1, 0, 0, 0, 0]"
糖尿病患者戒烟可降低多种慢性病风险，应以循证医学证据为依据。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
成年人限制饮酒有助于肝脏和血管健康，应根据个人情况调整方案。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
纳米介质散热通道可提升长时运行稳定性。,0,1,1,0,0,0,"[0, 1, 1, 0, 0, 0]"
心血管高风险人群心理压力管理有助于睡眠和身心健康，建议结合医生意见长期执行。,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]"
临床证明全部痛风患者三天缓解，万人验证无一例外。,0,1,0,0,1,0,"[0, 1, 0, 0, 1, 0]"
元宇宙工程课程可替代线下培训，专家建议全民参与。,0,1,0,0,0,1,"[0, 1, 0, 0, 0, 1]"
